# Flux Network Reconstruction using RW method
# Walkers leave from emitting cells
# Probability involves emitting fluxes, then absorbing flux is shared among connections
# Seed: 1684539231
# Threshold: 0.5
# Precision: 100000.0
# Dt: 1.0
# Radius step: 3.000000
# Matrix output


0.000099 0.011458 0.134484 0.021186 0.067613 0.008240 0.003903 0.012777 0.000321 0.026533 0.000260 0.001285 0.043904 0.004654 0.005024 0.003630 0.000620 0.000313 0.000134 0.001555 0.000371 0.000285 0.000573 0.001549 0.000402 0.000073 0.001205 0.000629 0.000614 0.000111 0.000321 0.001442 0.000123 0.000326 0.000026 0.000176 0.000089 0.000092 0.000198 0.000024 -0.000000 -0.000000 -0.000000 0.000155 0.000075 -0.000000 0.000019 0.000047 -0.000000 -0.000000 0.000017 0.000027 0.000005 -0.000000 -0.000000 -0.000000 -0.000000 0.000008 -0.000000 -0.000000 -0.000000 -0.000000 0.000098 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000041 -0.000000 
0.000003 0.000027 0.000418 0.000376 0.000471 0.000337 0.000473 0.000257 0.000026 0.000587 0.000016 0.000168 0.001385 0.000288 0.000173 0.000078 0.000096 0.000070 0.000006 0.000120 0.000186 0.000158 0.000218 0.000484 0.000077 0.000049 0.000761 0.000079 0.000409 0.000133 0.000175 0.000481 -0.000000 0.000196 0.000026 0.000176 -0.000000 0.000092 0.000149 0.000096 0.000740 0.000043 0.000466 0.000078 0.000075 0.000138 0.000076 0.000186 0.000027 0.000378 0.000034 -0.000000 -0.000000 0.000119 -0.000000 -0.000000 0.000118 -0.000000 0.000133 -0.000000 0.000013 0.000050 0.000033 0.000472 -0.000000 -0.000000 0.000019 -0.000000 -0.000000 0.000007 -0.000000 0.000083 0.000016 
0.000003 0.266081 0.035909 0.000257 0.111982 -0.000000 -0.000000 0.020753 -0.000000 0.003427 0.000004 -0.000000 0.000831 0.073065 0.000190 0.003825 -0.000000 0.001648 -0.000000 0.083815 -0.000000 -0.000000 0.002865 0.000533 0.000278 -0.000000 0.009830 0.011870 -0.000000 0.000044 0.000117 -0.000000 0.011337 -0.000000 -0.000000 0.000117 0.003205 -0.000000 0.000198 -0.000000 -0.000000 0.000385 0.002702 0.000388 -0.000000 -0.000000 0.000019 -0.000000 0.000027 -0.000000 -0.000000 0.001173 0.000129 0.000060 -0.000000 -0.000000 0.000020 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000294 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000041 0.000016 
0.000392 0.010969 0.068798 0.050636 0.073188 0.028113 0.023653 0.023583 0.001696 0.047926 0.001309 0.008322 0.131572 0.009473 0.013362 0.013193 0.003611 0.001552 0.001538 0.003530 0.004003 0.002466 0.002974 0.010362 0.002240 0.001289 0.005581 0.001847 0.005731 0.001824 0.002536 0.007813 0.001471 0.001860 0.001059 0.003052 0.000757 0.001322 0.001734 0.000648 0.006288 0.000428 0.001118 0.001241 0.000639 0.000517 0.000227 0.000326 0.000154 0.002016 0.000085 0.000133 0.000045 0.000238 0.000144 0.000156 0.000118 0.000017 0.000133 0.000025 0.000065 0.000117 0.000065 -0.000000 0.000073 0.000166 0.000038 0.000131 0.000058 -0.000000 0.000000 0.000041 0.000016 
0.000579 0.021911 0.218890 0.114878 0.161926 0.041959 0.029921 0.037689 0.002034 0.101530 0.001608 0.006981 0.180601 0.011697 0.019438 0.013623 0.003330 0.001425 0.001110 0.003171 0.002757 0.000948 0.001801 0.008425 0.001808 0.000535 0.002600 0.001415 0.003685 0.000979 0.001778 0.005168 0.001226 0.001273 0.000387 0.001233 0.000579 0.000646 0.000545 0.000216 0.001110 0.000128 0.000745 0.000233 0.000226 -0.000000 0.000038 0.000093 0.000036 0.000504 -0.000000 0.000080 0.000020 0.000030 0.000072 -0.000000 0.000020 -0.000000 -0.000000 -0.000000 -0.000000 0.000034 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
0.000032 0.672317 0.392442 0.006914 0.329034 0.003224 0.001656 0.054411 0.000147 0.038037 0.000047 0.000112 0.021329 0.055396 0.004609 0.015769 0.000325 0.003009 0.000083 0.031348 0.000159 0.000126 0.004502 0.004116 0.001205 0.000073 0.009766 0.009394 0.000205 0.000534 0.000758 0.000721 0.007048 0.000228 0.000181 0.000470 0.002537 0.000123 0.000446 0.000024 0.001665 0.000514 0.002236 0.001241 0.000150 -0.000000 0.000133 -0.000000 0.000027 -0.000000 -0.000000 0.000773 0.000065 0.000209 -0.000000 -0.000000 0.000059 -0.000000 0.000100 -0.000000 -0.000000 0.000017 0.000490 -0.000000 -0.000000 0.000041 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
0.012996 0.002063 0.012682 0.053186 0.018611 0.047144 0.293061 0.006346 0.003970 0.019288 0.010582 0.067578 0.126864 0.001565 0.007544 0.003045 0.008934 0.000243 0.004274 0.000479 0.011374 0.008346 0.001091 0.004890 0.000865 0.003939 0.001459 0.000550 0.014022 0.000778 0.001895 0.012740 0.000245 0.002611 0.000904 0.002817 0.000089 0.001015 0.000545 0.000456 0.002589 0.000128 0.000093 0.000388 0.000263 0.000448 0.000038 0.000326 0.000036 0.000504 0.000034 0.000027 -0.000000 0.000030 0.000072 0.000117 -0.000000 0.000008 0.000033 0.000051 0.000026 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 
0.001849 0.006435 0.034794 0.084434 0.047588 0.064720 0.109159 0.021310 0.004312 0.043765 0.004623 0.033119 0.236969 0.009020 0.018472 0.013584 0.009215 0.001572 0.004032 0.003769 0.013309 0.008536 0.003601 0.012879 0.003507 0.004280 0.008561 0.002673 0.020777 0.003714 0.005101 0.020433 0.002574 0.005482 0.002530 0.008511 0.000935 0.003260 0.002824 0.001775 0.011652 0.000556 0.001211 0.001940 0.002031 0.001482 0.000417 0.001398 0.000163 0.003402 0.000323 0.000160 0.000030 0.000328 0.000216 0.000506 0.000276 0.000144 0.000266 0.000177 0.000169 0.000235 0.000163 0.000472 0.000015 0.000248 0.000047 0.000326 0.000058 0.000028 -0.000000 0.000165 -0.000000 
0.007903 0.003475 0.024946 0.094702 0.029762 0.072939 0.272010 0.009733 0.005950 0.032554 0.011025 0.067076 0.188079 0.002636 0.012481 0.004489 0.011585 0.000569 0.005333 0.000897 0.014105 0.010591 0.001037 0.006440 0.001205 0.003672 0.001649 0.000786 0.016785 0.001401 0.002477 0.014904 0.000184 0.002676 0.001317 0.003404 0.000045 0.001353 0.001189 0.000648 0.004624 0.000064 0.000280 0.000155 0.000376 0.000276 0.000133 0.000093 -0.000000 0.000756 0.000051 -0.000000 0.000010 0.000030 -0.000000 0.000039 0.000079 0.000025 0.000033 0.000051 0.000013 0.000034 0.000065 -0.000000 0.000015 -0.000000 -0.000000 -0.000000 -0.000000 0.000007 -0.000000 0.000041 -0.000000 
0.007783 0.000109 0.000697 0.001489 0.000157 0.001475 0.034415 0.000129 0.000158 0.000636 0.000963 0.008880 0.005263 0.000082 0.000242 0.000078 0.000502 -0.000000 0.000300 -0.000000 0.001299 0.000569 0.000055 0.000194 0.000046 0.000340 0.000127 -0.000000 0.000921 0.000089 0.000146 0.000721 0.000061 0.000196 0.000077 0.000117 0.000045 0.000062 -0.000000 0.000024 0.000185 -0.000000 -0.000000 0.000078 -0.000000 0.000034 0.000019 0.000093 -0.000000 -0.000000 0.000017 -0.000000 -0.000000 0.000030 -0.000000 -0.000000 -0.000000 0.000008 -0.000000 -0.000000 -0.000000 0.000017 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 
