# Flux Network Reconstruction using RW method
# Walkers leave from emitting cells
# Probability involves emitting fluxes, then absorbing flux is shared among connections
# Seed: 1685008047
# Threshold: 0.5
# Precision: 100000.0
# Dt: 1.0
# Radius step: 9.000000
# Matrix output


0.021714 0.004009 0.000596 0.000939 0.000009 0.320574 0.098444 0.004858 0.001433 0.003607 0.007220 0.013023 0.000237 0.012090 0.000103 0.055058 0.006179 0.015252 0.006425 0.000339 0.000001 0.000133 0.020108 0.000146 0.005431 0.009866 0.000340 0.000695 0.006428 0.019653 0.010277 0.000586 0.000891 0.000466 0.000383 0.000962 0.001360 0.000339 0.000144 0.007178 0.000526 0.001165 0.003502 0.000194 0.008111 0.000579 0.000083 0.000115 0.001040 0.000065 0.000387 0.000790 -0.000000 0.000054 0.000335 0.000056 0.000118 -0.000000 0.000191 0.000121 0.003718 0.001030 0.000048 0.000109 0.000042 -0.000000 0.000336 0.000032 
0.054828 0.321749 0.000031 0.074025 0.001566 0.012537 0.029321 0.000108 0.017147 0.120109 0.008703 0.005757 0.010986 0.080344 0.004386 0.009457 0.019379 0.004644 0.004570 0.004802 0.000008 0.002153 0.001123 0.003720 0.002454 0.003834 0.004758 0.008921 0.009974 0.006377 0.002162 0.006005 0.001183 0.001613 0.000032 0.008944 0.000403 0.002596 0.001671 0.000626 0.002930 0.001257 0.005578 0.000817 0.002224 0.000616 0.000578 0.000806 0.000861 0.000452 0.000164 0.001668 0.000205 0.000486 0.000145 0.000196 0.000431 0.000377 0.000278 0.000436 0.000868 0.000618 0.000145 0.000255 0.000210 0.000027 0.000336 0.000018 
0.759997 0.313396 0.000196 0.036778 0.000884 0.069950 0.175339 0.000529 0.032089 0.110010 0.033622 0.020239 0.009750 0.199406 0.004567 0.033339 0.050622 0.016467 0.014437 0.006254 0.000013 0.003105 0.003225 0.004248 0.007180 0.009253 0.004952 0.006952 0.023789 0.017772 0.003915 0.006811 0.002548 0.003369 0.000109 0.011829 0.001219 0.004928 0.001556 0.001734 0.003569 0.002146 0.007912 0.000882 0.006280 0.000598 0.000619 0.001295 0.001614 0.000614 0.000434 0.002107 0.000256 0.000270 0.000268 0.000168 0.000471 0.000171 0.000296 0.000242 0.000372 0.001236 -0.000000 0.000219 0.000210 0.000046 0.000470 0.000014 
0.032028 0.078015 0.000026 0.038245 0.000875 0.011131 0.032265 0.000143 0.014083 0.102435 0.007731 0.005858 0.008752 0.089832 0.003870 0.010579 0.020911 0.005679 0.006076 0.004633 0.000007 0.002505 0.001775 0.004777 0.004047 0.007361 0.006505 0.010080 0.013151 0.013799 0.003263 0.008056 0.001991 0.002527 0.000097 0.013271 0.000762 0.004627 0.002362 0.001734 0.004358 0.002605 0.012063 0.001677 0.006018 0.001401 0.001032 0.002015 0.001758 0.001017 0.000528 0.004477 0.000436 0.000972 0.000457 0.000560 0.001608 0.000788 0.000626 0.000677 0.001735 0.003400 0.000291 0.000619 0.000631 0.000166 0.001008 0.000051 
0.033114 0.085699 0.000031 0.159841 0.003933 0.016872 0.036269 0.000170 0.023597 0.268351 0.010308 0.007291 0.021367 0.132529 0.009624 0.011941 0.027832 0.006930 0.007743 0.007826 0.000012 0.004553 0.002210 0.006910 0.003838 0.007770 0.011748 0.015989 0.016771 0.010454 0.002936 0.015087 0.002408 0.002832 0.000111 0.020677 0.001077 0.006997 0.003774 0.001301 0.004659 0.002789 0.014009 0.002344 0.006280 0.001307 0.001321 0.001813 0.001865 0.001195 0.000422 0.004915 0.000474 0.001161 0.000457 0.000504 0.001059 0.001062 0.000800 0.000677 0.001239 0.003194 0.000242 0.000765 0.000758 0.000060 0.001008 0.000036 
0.001629 0.001169 0.000002 0.010852 0.007775 0.000820 0.001413 0.000017 0.001129 0.063842 0.000535 0.000402 0.002838 0.007499 0.001548 0.001042 0.001236 0.000321 0.000457 0.000738 0.000001 0.000410 0.000290 0.000620 0.000078 0.000307 0.001262 0.002897 0.001108 0.001359 0.000245 0.001318 0.000251 0.000179 0.000004 0.001635 0.000131 0.000489 0.000375 0.000096 0.000526 0.000245 0.001038 0.000086 0.000262 0.000243 0.000124 0.000288 0.000143 0.000162 0.000023 0.000527 0.000064 0.000108 0.000022 -0.000000 0.000235 0.000240 0.000104 0.000145 0.000248 0.000206 0.000097 0.000073 0.000084 0.000007 0.000134 0.000007 
0.045600 0.010859 0.000224 0.003695 0.000129 0.083776 0.155438 0.000800 0.006468 0.023445 0.019595 0.019610 0.002576 0.065805 0.001135 0.039911 0.025756 0.019110 0.014087 0.002576 0.000005 0.001657 0.007826 0.001842 0.010209 0.016921 0.003884 0.004750 0.026227 0.030316 0.010277 0.006518 0.003508 0.003763 0.000295 0.012791 0.002198 0.005605 0.002218 0.005395 0.005185 0.005057 0.020235 0.001978 0.017661 0.002596 0.001279 0.002418 0.004951 0.001437 0.001338 0.007900 0.000731 0.000918 0.001015 0.000812 0.002197 0.000960 0.001131 0.001282 0.003966 0.004945 0.000533 0.000874 0.001431 0.000179 0.002218 0.000079 
0.011943 0.021884 0.000010 0.103941 0.015070 0.004687 0.011658 0.000071 0.010714 0.422004 0.004716 0.002740 0.026833 0.065193 0.011094 0.006411 0.010480 0.002679 0.002715 0.005516 0.000006 0.003029 0.000906 0.005743 0.001514 0.003732 0.008933 0.016916 0.009531 0.006063 0.001468 0.010619 0.001211 0.001828 0.000048 0.011156 0.000501 0.004063 0.002564 0.000626 0.002517 0.001318 0.007653 0.001183 0.002617 0.000728 0.000702 0.001353 0.001076 0.000630 0.000305 0.002984 0.000385 0.000567 0.000257 0.000224 0.000628 0.000720 0.000261 0.000266 0.000620 0.000824 0.000194 0.000328 0.000337 0.000046 0.000134 0.000032 
0.004343 0.002172 0.000033 0.000411 0.000009 0.015701 0.015073 0.000129 0.000573 0.002885 0.001921 0.002112 0.000237 0.007346 0.000129 0.006011 0.002274 0.002179 0.001264 0.000327 0.000001 0.000124 0.001196 0.000255 0.001279 0.002607 0.000583 0.000811 0.003990 0.004704 0.001509 0.000586 0.000432 0.000520 0.000043 0.001443 0.000327 0.000489 0.000086 0.001060 0.000714 0.000889 0.002594 0.000323 0.002224 0.000486 0.000083 0.000288 0.000861 0.000242 0.000117 0.001229 0.000128 0.000243 0.000123 0.000112 0.000235 0.000103 0.000122 0.000242 0.000620 0.001133 0.000097 0.000328 0.000168 0.000046 0.000403 0.000036 
0.008686 0.013699 0.000005 0.076782 0.022393 0.003164 0.006948 0.000037 0.008188 0.465647 0.002747 0.001534 0.024232 0.045605 0.012668 0.002805 0.008157 0.001750 0.001989 0.004742 0.000005 0.002200 0.000435 0.004412 0.000757 0.001840 0.007719 0.012282 0.005319 0.002927 0.000612 0.008056 0.000654 0.000878 0.000013 0.006540 0.000152 0.002784 0.001412 0.000193 0.001352 0.000766 0.002983 0.000559 0.000392 0.000280 0.000371 0.001007 0.000215 0.000371 0.000094 0.000878 0.000064 0.000297 0.000134 0.000168 0.000196 0.000308 0.000174 0.000290 -0.000000 0.000618 -0.000000 0.000255 0.000042 0.000020 0.000336 0.000004 
