9.44 60.29 5.93 2.834550 3.00
9.44 180.00 8.08 0.182521 1.95
9.44 262.21 11.43 4.494670 2.60
9.44 124.79 12.24 0.164879 2.30
9.44 306.94 16.90 20.205400 2.95
9.44 103.35 20.01 0.516575 2.65
9.44 157.14 27.62 2.840420 2.25
9.44 245.84 34.03 0.217053 2.45
9.44 11.66 43.02 2.011300 2.70
9.44 145.43 43.63 1.953410 1.90
9.44 84.36 44.64 1.733320 2.40
9.44 213.77 46.34 -1.604470 1.40
9.44 108.78 47.92 -0.497795 2.10
9.44 258.07 48.86 -1.462460 2.25
9.44 64.57 53.12 -0.663200 2.45
9.44 24.39 54.15 6.157530 2.45
9.44 245.23 55.24 3.248590 2.25
9.44 124.90 60.44 0.851788 1.60
9.44 15.60 61.94 2.466770 2.20
9.44 223.70 65.23 -0.685539 1.85
9.44 319.78 73.39 8.530340 2.10
9.44 143.42 86.17 -2.105460 1.05
9.44 20.14 89.73 -0.812462 1.15
9.44 84.34 90.72 2.246010 2.00
9.44 253.57 92.25 2.323560 1.95
9.44 340.82 96.92 -6.500240 1.45
9.44 81.87 108.45 0.756706 1.95
9.44 127.66 111.22 -0.359495 1.20
9.44 226.30 111.65 -0.871694 1.45
9.44 112.44 117.38 -2.410050 1.45
9.44 26.98 117.64 -5.876720 1.80
9.44 70.04 117.63 -0.154461 2.25
9.44 41.22 120.68 -1.376450 2.15
9.44 438.96 120.61 1.879220 2.80
9.44 199.83 122.20 -1.065780 1.00
9.44 100.23 129.35 -0.683383 1.15
9.44 137.87 129.25 -2.685030 1.30
9.44 163.31 134.82 -0.684140 1.15
9.44 19.95 140.01 3.889160 2.10
9.44 250.30 144.25 -7.474030 1.60
9.44 225.24 144.78 0.355667 1.25
9.44 263.05 145.35 1.897230 1.20
9.44 158.05 151.44 1.547000 1.15
9.44 86.14 152.58 -0.019454 1.75
9.44 28.93 154.62 0.720996 2.05
9.44 210.09 155.26 2.191840 1.05
9.44 191.44 155.98 -1.615320 1.10
9.44 109.48 157.82 0.992101 1.75
9.44 351.41 157.81 1.494770 2.30
9.44 332.80 160.81 -0.061185 2.15
9.44 240.84 161.04 1.145720 1.50
9.44 129.81 162.38 -0.302974 1.70
9.44 217.63 163.04 -0.101325 1.00
9.44 42.58 164.89 0.451449 2.30
9.44 76.46 166.48 0.560787 2.30
9.44 263.32 168.82 2.715940 1.40
9.44 37.35 180.37 1.597350 2.15
9.44 188.66 181.70 -1.564870 1.50
9.44 22.28 182.09 -5.856490 1.60
9.44 65.95 183.41 -0.713251 2.25
9.44 250.22 184.62 -7.686540 1.70
9.44 201.36 185.02 -3.656090 1.55
9.44 140.33 186.19 0.419317 1.30
9.44 148.21 186.11 -0.140350 1.20
9.44 210.73 198.01 0.903775 1.65
9.44 9.23 198.37 9.230430 2.50
9.44 288.42 202.82 -3.565860 1.70
9.44 223.84 203.60 3.882110 1.70
9.44 267.62 205.60 5.078070 1.60
9.44 105.80 208.07 -0.811345 1.75
9.44 202.05 210.57 1.127890 1.70
9.44 54.61 211.92 9.385500 2.10
9.44 122.72 219.29 3.606130 1.80
9.44 180.58 225.88 -0.491777 1.75
9.44 96.17 226.16 -12.554400 2.00
9.44 336.57 233.59 2.110610 2.10
9.44 260.71 233.84 0.703077 1.40
9.44 110.69 235.85 -2.299910 1.90
9.44 313.15 237.71 0.284724 1.65
9.44 7.46 238.97 7.504420 3.10
9.44 368.65 240.43 8.145660 2.45
9.44 192.05 242.90 0.475709 1.75
9.44 66.96 243.18 1.558170 2.35
9.44 147.34 247.58 1.886430 1.20
9.44 208.45 251.11 2.269800 1.45
9.44 326.78 255.89 -5.126700 1.85
9.44 289.77 259.21 -0.218940 1.10
9.44 219.06 260.26 -1.005320 1.00
9.44 206.00 263.03 0.549481 1.40
9.44 110.92 267.87 0.413720 1.85
9.44 73.77 268.21 -0.023718 2.15
9.44 188.54 276.30 -1.737360 1.60
9.44 295.67 277.78 -0.565493 1.10
9.44 29.11 278.30 3.810050 2.90
9.44 270.84 281.60 1.609060 0.90
9.44 157.24 282.30 -0.175489 1.35
9.44 236.17 282.39 1.352750 1.20
9.44 248.94 282.87 -2.677390 1.20
9.44 64.35 286.24 0.442965 2.30
9.44 335.69 287.36 8.305970 1.80
9.44 199.70 288.97 0.250462 1.60
9.44 113.97 289.58 0.298737 1.80
9.44 318.81 289.59 -3.910670 1.45
9.44 272.57 294.06 -1.259260 0.80
9.44 129.83 302.37 -1.066620 1.55
9.44 286.23 305.12 -0.952293 0.75
9.44 114.23 313.15 -1.451860 1.55
9.44 140.22 314.13 -3.823780 1.25
9.44 80.05 315.92 0.039860 2.20
9.44 383.71 323.27 -2.668580 2.50
9.44 65.46 325.94 0.326437 2.45
9.44 348.65 326.73 -1.463850 1.90
9.44 20.31 328.12 1.330000 3.05
9.44 273.68 329.99 -2.332370 0.60
9.44 110.35 331.24 -1.793260 1.35
9.44 215.56 333.21 1.229070 1.55
9.44 49.28 336.51 0.605651 2.65
9.44 176.66 338.31 -1.542500 0.95
9.44 161.80 340.84 -1.355800 0.80
9.44 61.34 349.37 -0.389139 2.45
9.44 126.88 350.45 1.151210 1.35
9.44 241.69 353.54 2.984240 1.65
9.44 189.82 355.24 -0.602524 1.10
9.44 354.77 357.28 -0.143567 2.35
9.44 425.80 357.66 -2.285740 3.15
9.44 399.66 359.70 7.875990 2.75
9.44 9.47 363.15 1.160560 3.10
9.44 136.50 365.39 7.601840 1.50
9.44 181.89 367.43 -1.403810 1.10
9.44 102.86 374.06 -2.589110 1.95
9.44 395.99 386.05 1.262210 3.00
9.44 28.68 386.85 -2.124790 1.95
9.44 163.49 390.04 0.039995 1.70
9.44 123.91 396.31 2.375990 2.25
9.44 360.73 398.25 1.675570 2.85
9.44 101.82 398.56 2.233830 2.30
9.44 148.53 400.03 0.034696 1.95
9.44 164.43 406.17 -0.797140 2.05
9.44 22.89 408.84 -0.166258 2.20
9.44 377.63 410.78 2.765080 3.10
9.44 133.05 413.79 0.843647 2.30
9.44 95.63 414.25 1.360550 2.80
9.44 177.34 416.93 2.286100 2.05
9.44 119.02 418.61 1.082630 2.45
9.44 192.56 419.17 -1.390250 2.15
9.44 429.57 422.31 5.944120 3.45
9.44 305.86 424.78 -6.695540 2.70
9.44 214.81 425.22 2.167880 2.45
9.44 316.00 429.74 1.146180 2.85
