# Flux Network Reconstruction using RW method
# Walkers leave from emitting cells
# Probability involves emitting fluxes, then absorbing flux is shared among connections
# Seed: 1684538853
# Threshold: 0.5
# Precision: 100000.0
# Dt: 1.0
# Radius step: 10.000000
# Matrix output


0.007629 0.014038 0.000872 0.000133 0.000236 0.001230 0.000695 0.001918 0.000186 0.001574 0.001159 0.000086 0.000403 0.000427 0.001472 0.000370 0.000317 0.000779 0.000442 0.000060 0.000091 0.000106 0.000064 0.000405 0.000447 0.000719 0.001139 0.000087 0.000139 0.000267 0.000028 0.000315 0.000256 0.000033 0.000410 0.000030 0.000385 0.000004 0.000145 0.000040 0.000137 0.000597 0.000138 -0.000000 -0.000000 0.000048 0.000056 0.000301 -0.000000 -0.000000 0.000378 0.000047 0.000026 0.000023 0.000025 -0.000000 0.000037 0.000030 -0.000000 -0.000000 0.000016 0.000031 -0.000000 0.000036 -0.000000 
0.002398 0.008590 0.084205 0.002898 0.030598 0.001230 0.001512 0.093399 0.040465 0.003190 0.000738 0.000361 0.006993 0.000466 0.004144 0.000685 0.020215 0.005818 0.000522 0.004124 0.006839 0.003192 0.000958 0.007442 0.005678 0.000360 0.014406 0.000873 0.000360 0.005416 0.000642 0.005363 0.001108 0.001366 0.002550 0.000109 0.002634 0.000088 0.000319 0.000243 0.004319 0.002686 0.001350 0.000684 0.001327 0.000155 0.000144 0.000526 0.000721 0.002590 0.001135 0.000062 0.000079 0.000058 0.000050 0.000125 0.000091 0.000301 0.000252 0.001048 0.000147 0.000250 0.000224 0.000289 0.001002 
0.033351 0.091353 0.004129 0.001474 0.005094 0.006460 0.008151 0.027149 0.002051 0.011642 0.006006 0.001045 0.005144 0.002523 0.011722 0.002573 0.003488 0.008841 0.002751 0.001260 0.000974 0.001353 0.002618 0.004962 0.005499 0.004135 0.005209 0.000751 0.001275 0.001201 0.000150 0.001052 0.002216 0.000740 0.001958 0.000302 0.002377 0.000069 0.000754 0.000415 0.001302 0.002387 0.000866 0.001248 0.000578 0.000323 0.000176 0.001128 0.000721 0.000609 0.001438 0.000203 0.000079 0.000082 0.000353 0.000467 0.000183 0.000301 0.000108 0.000857 0.000147 0.000157 0.000168 0.000217 0.001002 
0.136236 0.440839 0.031344 0.014183 0.028169 0.028608 0.047150 0.149468 0.006014 0.055435 0.019915 0.004535 0.026859 0.009026 0.054195 0.011052 0.015142 0.041045 0.008574 0.004258 0.002310 0.004179 0.006512 0.016454 0.014620 0.010067 0.017255 0.002103 0.003602 0.003842 0.000309 0.001735 0.005454 0.000823 0.004690 0.000538 0.005525 0.000062 0.001682 0.000890 0.002399 0.003133 0.001350 0.002012 0.000850 0.000442 0.000176 0.000940 0.000721 0.001219 0.001362 0.000171 0.000105 0.000082 0.000252 0.000187 0.000110 0.000211 0.000108 0.000857 0.000147 0.000157 -0.000000 0.000217 0.000751 
0.005231 0.013619 0.092405 0.004470 0.035085 0.001846 0.002962 0.089858 0.010722 0.004930 0.002634 0.000722 0.007183 0.001184 0.008669 0.001629 0.012922 0.008429 0.001887 0.003689 0.003080 0.003435 0.001532 0.010024 0.007153 0.002876 0.014081 0.001248 0.001053 0.004509 0.000512 0.003944 0.002855 0.001349 0.004007 0.000327 0.005268 0.000120 0.000638 0.000627 0.005758 0.005819 0.002043 0.001851 0.001701 0.000395 0.000368 0.001692 0.002245 0.002438 0.002346 0.000249 0.000158 0.000140 0.000378 0.000717 0.000219 0.000633 0.000360 0.001143 0.000278 0.000344 0.000280 0.000578 0.003005 
0.119888 0.227543 0.003198 0.000674 0.002766 0.194105 0.010787 0.015050 0.001026 0.022497 0.046785 0.002494 0.004528 0.012733 0.020609 0.009941 0.003369 0.011452 0.006867 0.000870 0.000702 0.001185 0.008939 0.005518 0.005857 0.013842 0.005616 0.000777 0.003214 0.000960 0.000110 0.000526 0.003153 0.000411 0.002505 0.000514 0.003020 0.000041 0.001218 0.000637 0.001440 0.002163 0.000727 0.001570 0.000374 0.000347 0.000144 0.000865 0.001443 0.000914 0.001287 0.000218 0.000131 0.000094 0.000177 0.000499 0.000165 0.000151 0.000180 0.000667 0.000115 0.000188 0.000168 0.000217 0.001252 
0.028119 0.052591 0.000640 0.000288 0.000675 0.585390 0.003636 0.005607 0.000326 0.007872 0.035405 0.001007 0.001446 0.006037 0.006979 0.004184 0.000912 0.003711 0.003213 0.000300 0.000249 0.000410 0.004980 0.001620 0.002593 0.009528 0.001791 0.000271 0.001718 0.000347 0.000045 0.000368 0.001278 0.000181 0.000865 0.000151 0.001413 0.000021 0.000609 0.000243 0.000274 0.000895 0.000173 0.000604 0.000272 0.000132 0.000032 0.000301 0.000802 0.000152 0.000454 0.000047 0.000053 0.000012 0.000050 0.000062 0.000018 -0.000000 0.000036 0.000476 0.000033 0.000031 -0.000000 0.000253 0.001252 
0.092967 0.216858 0.002094 0.000905 0.002867 0.050756 0.010521 0.019919 0.001538 0.019183 0.023182 0.002257 0.004765 0.008599 0.019028 0.007646 0.003488 0.010261 0.006124 0.001140 0.000906 0.001398 0.007726 0.005974 0.005454 0.010966 0.006674 0.000829 0.002549 0.001868 0.000130 0.001052 0.003451 0.000609 0.003370 0.000417 0.003598 0.000032 0.001218 0.000678 0.002811 0.003730 0.000935 0.001731 0.000646 0.000418 0.000272 0.001391 0.002485 0.000609 0.001892 0.000265 0.000131 0.000164 0.000479 0.000592 0.000201 0.000392 0.000216 0.001333 0.000147 0.000282 0.000112 0.000542 0.003005 
0.125228 0.297734 0.003198 0.001214 0.003677 1.415026 0.018897 0.017854 0.001119 0.040023 0.240772 0.004767 0.005595 0.040374 0.031568 0.023103 0.003805 0.015712 0.017027 0.001050 0.000589 0.001125 0.024900 0.005569 0.007690 0.033797 0.004639 0.000855 0.008590 0.000854 0.000077 0.000631 0.006051 0.000411 0.002505 0.000726 0.004497 0.000021 0.002147 0.000698 0.000754 0.002238 0.000796 0.001851 0.000306 0.000383 0.000192 0.001090 0.001683 0.000457 0.001211 0.000171 0.000158 0.000175 0.000101 0.000312 0.000165 0.000090 -0.000000 0.000286 0.000082 0.000157 0.000112 0.000144 0.001002 
0.160323 0.641563 0.017388 0.005649 0.015518 0.102128 0.107049 0.100334 0.005874 0.136930 0.064592 0.013487 0.027025 0.030067 0.112915 0.034785 0.016648 0.066789 0.024979 0.005293 0.002853 0.006550 0.022410 0.026225 0.027004 0.038112 0.026778 0.003779 0.010780 0.005976 0.000524 0.003891 0.013380 0.002155 0.011385 0.001500 0.013877 0.000177 0.004931 0.002205 0.006101 0.011116 0.003462 0.006882 0.001871 0.001351 0.000592 0.004812 0.005291 0.003047 0.005525 0.000764 0.000631 0.000526 0.001009 0.001246 0.000622 0.000723 0.000360 0.004095 0.000376 0.000689 0.000561 0.001084 0.006009 
