# Flux Network Reconstruction using RW method
# Walkers leave from emitting cells
# Probability involves emitting fluxes, then absorbing flux is shared among connections
# Seed: 1684941001
# Threshold: 0.5
# Precision: 100000.0
# Dt: 1.0
# Radius step: 10.000000
# Matrix output


0.001254 0.002872 0.005600 0.000122 0.007170 0.028345 0.000355 0.034905 0.013677 0.001511 0.013541 0.048902 0.023209 0.006479 0.001517 0.002321 0.023533 0.005002 0.003724 0.000722 0.001625 0.002469 0.001704 0.004818 0.003703 0.005499 0.002216 0.002031 0.002653 0.006771 0.001222 0.000142 0.000284 0.000562 0.000124 0.000251 0.000290 0.001404 0.000025 0.000539 0.000210 -0.000000 0.000030 0.000233 0.000005 0.000760 0.000082 0.000386 0.000266 0.000078 0.000150 0.000529 0.000444 0.000003 0.000265 0.000333 0.000113 0.000572 0.000080 0.000155 -0.000000 0.000158 0.000212 0.000183 0.000255 0.000007 
0.254885 0.265259 0.078084 0.004481 0.115646 0.013516 0.012720 0.000453 0.007301 0.013904 0.002246 0.006846 0.007694 0.000357 0.005835 0.000378 0.015115 0.007909 0.035779 0.003778 0.004234 0.005373 0.021123 0.002224 0.009875 0.001678 0.011817 0.015086 0.001675 0.005642 0.000987 0.000129 0.000385 0.004025 0.001907 0.001577 0.000949 0.001754 0.000023 0.002234 0.000967 0.002150 0.000060 0.000326 0.000128 0.001521 0.000348 0.000540 0.000310 0.000823 0.000150 0.002222 0.000710 0.000006 0.000221 0.000600 0.000113 0.001143 0.000639 0.001085 0.000094 0.000473 0.000424 0.000366 0.000510 0.000007 
0.006546 0.008616 0.030487 0.000499 0.033769 0.118499 0.000963 0.061423 0.049163 0.006801 0.032118 0.081178 0.058275 0.011215 0.007352 0.003211 0.056823 0.014330 0.008419 0.001853 0.004362 0.003049 0.005281 0.011118 0.009011 0.008762 0.003570 0.002611 0.005585 0.009592 0.001692 0.000197 0.000669 0.000843 0.000249 0.000896 0.000290 0.001404 0.000025 0.000231 0.000210 0.000512 0.000038 0.000186 0.000014 0.001901 0.000041 0.000694 0.000488 0.000157 0.000299 0.000212 0.000710 -0.000000 0.000177 0.000200 0.000454 0.000381 0.000160 0.000310 -0.000000 0.000158 0.000106 -0.000000 0.000170 0.000007 
0.000975 0.003077 0.005289 0.000128 0.006014 0.003937 0.000304 0.000227 0.002033 0.000907 0.000749 0.001467 0.001892 0.000223 0.000895 0.000189 0.004018 0.000946 0.001943 0.000457 0.000556 0.000944 0.001363 0.000371 0.000864 0.000373 0.000985 0.000725 0.000349 0.001975 0.000141 0.000043 0.000142 0.000562 0.000207 0.000179 0.000105 0.000702 0.000016 0.000385 0.000168 0.000102 0.000008 0.000163 0.000038 0.000570 0.000102 0.000463 0.000089 0.000118 0.000200 0.000106 0.000089 0.000003 0.000132 0.000267 0.000113 -0.000000 -0.000000 -0.000000 0.000188 0.000105 0.000212 -0.000000 0.000170 -0.000000 
0.011700 0.018464 0.049308 0.000894 0.050884 0.130047 0.001520 0.031731 0.053969 0.012091 0.025109 0.066018 0.056004 0.008266 0.009414 0.002267 0.061032 0.019400 0.019589 0.002887 0.005945 0.006825 0.009199 0.007968 0.012097 0.010626 0.005909 0.004932 0.007330 0.016363 0.002632 0.000302 0.000710 0.001779 0.001244 0.001075 0.000712 0.002924 0.000070 0.001156 0.000757 0.001024 0.000090 0.000513 0.000043 0.004182 0.000164 0.001003 0.000443 0.000274 0.000299 0.001270 0.000621 0.000008 0.000397 0.000600 0.000454 0.000953 0.000240 0.000620 0.000188 0.000105 0.000955 0.000183 0.000170 0.000021 
0.275499 0.601705 0.090061 0.009552 0.241931 0.016404 0.167692 0.000907 0.005914 0.037784 0.001429 0.001956 0.004793 0.000402 0.012060 0.000108 0.013201 0.007976 0.138907 0.011164 0.007185 0.013577 0.069162 0.000741 0.012591 0.001398 0.036805 0.069336 0.001675 0.003103 0.000752 0.000129 0.000243 0.022841 0.005432 0.002258 0.001160 0.003743 0.000012 0.007550 0.002480 0.011980 0.000011 0.000489 0.000199 0.002091 0.001085 0.000463 0.000089 0.004470 0.000150 0.002751 0.000266 -0.000000 0.000132 0.001000 -0.000000 -0.000000 0.001717 0.006042 0.000094 0.000053 0.001379 -0.000000 0.000255 0.000014 
0.042063 0.067905 0.157879 0.003113 0.182952 0.203010 0.006740 0.032411 0.086497 0.031537 0.027355 0.073842 0.083754 0.010947 0.025131 0.002968 0.117855 0.041977 0.051159 0.009624 0.016251 0.022218 0.033559 0.013342 0.030120 0.016405 0.024249 0.019582 0.013124 0.038650 0.005827 0.000900 0.002028 0.006366 0.003358 0.003548 0.002266 0.010176 0.000107 0.004776 0.003026 0.004198 0.000218 0.001748 0.000294 0.010645 0.000798 0.003241 0.001596 0.001451 0.001048 0.004232 0.003105 0.000030 0.001590 0.002133 0.001021 0.002668 0.001358 0.001549 0.000094 0.000893 0.002970 0.000732 0.001190 0.000142 
0.035795 0.048826 0.110438 0.002669 0.139007 0.215739 0.006183 0.042158 0.093613 0.026902 0.032594 0.084601 0.094224 0.013851 0.023808 0.003535 0.124743 0.043667 0.050997 0.008806 0.015995 0.020693 0.035603 0.017975 0.036045 0.019295 0.020803 0.023644 0.013263 0.044857 0.006814 0.000832 0.002170 0.006553 0.003524 0.003798 0.002925 0.013334 0.000133 0.005008 0.002774 0.005222 0.000256 0.001888 0.000256 0.011786 0.000982 0.003395 0.002040 0.001216 0.001946 0.004232 0.003726 0.000030 0.002429 0.002599 0.002723 0.003811 0.000998 0.002324 0.000188 0.001208 0.002546 0.001647 0.001445 0.000121 
0.000836 0.001846 0.002489 0.000067 0.003701 0.016141 0.000203 0.070942 0.010997 0.001763 0.013609 0.073842 0.019173 0.008043 0.001595 0.003157 0.017602 0.004123 0.003562 0.000553 0.001240 0.001888 0.002385 0.008524 0.004197 0.004940 0.001723 0.001451 0.003630 0.009310 0.001457 0.000154 0.000446 0.000655 0.000332 0.000466 0.000290 0.002573 0.000037 0.000924 0.000420 0.000614 0.000045 0.000350 0.000052 0.001521 0.000143 0.001157 0.000532 0.000118 0.000349 0.001058 0.000976 0.000006 0.000397 0.000267 0.000794 0.000572 0.000080 0.000310 -0.000000 0.000210 0.000742 -0.000000 0.000340 0.000021 
0.012675 0.017848 0.039198 0.000997 0.051809 0.152225 0.002027 0.131232 0.093521 0.012947 0.075600 0.243044 0.123740 0.032081 0.014316 0.009930 0.126274 0.034812 0.027037 0.005365 0.012702 0.014884 0.022827 0.029464 0.029009 0.028895 0.016002 0.011749 0.016963 0.056424 0.007613 0.000980 0.002839 0.003370 0.002737 0.003082 0.002767 0.009708 0.000203 0.003390 0.002690 0.003072 0.000312 0.001818 0.000237 0.013497 0.000737 0.004553 0.002128 0.000823 0.001746 0.002962 0.003016 0.000025 0.001590 0.002666 0.002609 0.004192 0.000998 0.001704 0.000471 0.001156 0.002864 0.001647 0.001530 0.000149 
