# Flux Network Reconstruction using RW method
# Walkers leave from emitting cells
# Probability involves emitting fluxes, then absorbing flux is shared among connections
# Seed: 1684539115
# Threshold: 0.5
# Precision: 100000.0
# Dt: 1.0
# Radius step: 8.000000
# Matrix output


0.001207 0.004549 0.207962 0.003525 0.000077 0.265072 0.000888 0.070537 0.101017 0.002910 0.000267 0.006396 0.000195 0.005965 0.000014 0.000295 0.023212 0.032889 0.002811 0.000353 0.000057 0.000002 0.002564 0.000161 0.000514 0.000047 0.000028 0.003697 0.000029 0.016969 0.000263 0.010220 0.000696 0.000159 0.000097 0.002790 0.000345 0.000092 0.006082 0.000238 0.001459 0.003444 0.000108 0.001738 0.000713 0.004146 -0.000000 0.000079 0.000287 0.000011 0.000378 0.000687 0.000391 0.000112 0.000489 0.000019 0.000136 0.001858 0.000017 0.000081 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000023 0.000099 0.000047 0.000135 0.000028 -0.000000 0.000068 0.000347 0.000017 
0.105549 0.209522 0.012402 0.139174 0.004544 0.014032 0.000851 0.012829 0.039489 0.031748 0.004809 0.010429 0.004237 0.038818 0.000489 0.017128 0.004040 0.018726 0.011482 0.005143 0.001384 0.000115 0.003655 0.003518 0.000064 0.002620 0.000029 0.008178 0.000674 0.008450 0.006563 0.003383 0.005037 0.002363 0.004095 0.000597 0.002832 0.001540 0.000936 0.001248 0.001130 0.005060 0.000579 0.003593 0.000599 0.002845 0.000179 0.000693 0.000598 0.000141 0.003550 0.000887 0.000181 0.000265 0.000888 0.000413 0.001153 0.000557 0.000144 0.001855 0.000048 0.000202 0.000098 0.000198 0.000344 0.000017 0.000233 0.000495 0.000109 0.000115 0.000141 0.000084 0.000154 0.000486 0.000051 
0.170046 0.421720 0.044887 0.338144 0.009560 0.044254 0.003782 0.045126 0.130326 0.085527 0.011488 0.030036 0.009731 0.097262 0.000891 0.026873 0.011037 0.042567 0.027108 0.008912 0.002426 0.000131 0.006473 0.005036 0.000084 0.003884 0.000056 0.011788 0.000528 0.013506 0.005863 0.005005 0.005938 0.002998 0.004144 0.000682 0.003350 0.001016 0.001325 0.001783 0.001356 0.004638 0.000619 0.004172 0.000385 0.002114 0.000179 0.000410 0.000529 0.000074 0.001964 0.000544 0.000113 0.000181 0.000800 0.000263 0.000475 0.000929 0.000127 0.000484 0.000022 0.000101 0.000148 0.000071 0.000196 0.000017 0.000070 0.000297 0.000047 0.000058 0.000070 0.000056 0.000120 0.000278 0.000034 
0.007748 0.132724 0.002314 0.068151 0.009320 0.002339 0.000118 0.002031 0.007271 0.014601 0.009484 0.002642 0.002844 0.015303 0.000345 0.029531 0.001464 0.004327 0.003906 0.003546 0.000916 0.000101 0.001164 0.003035 0.000018 0.003650 0.000009 0.003523 0.000645 0.002701 0.005863 0.000846 0.003399 0.001569 0.003266 0.000280 0.002349 0.001324 0.000624 0.001050 0.000555 0.002249 0.000444 0.001970 0.000456 0.001219 0.000179 0.000394 0.000299 0.000119 0.001737 0.000458 0.000068 0.000251 0.000800 0.000263 0.001085 0.000650 0.000118 0.000726 0.000035 0.000202 0.000025 0.000085 0.000295 0.000017 0.000163 0.000297 0.000202 0.000115 0.000070 0.000168 0.000085 0.000208 0.000043 
0.005836 0.081614 0.000926 0.047131 0.007485 0.001439 0.000073 0.000892 0.002797 0.013458 0.024534 0.001066 0.002679 0.012450 0.000422 0.057585 0.000380 0.002203 0.002515 0.003268 0.001276 0.000134 0.000564 0.002529 0.000006 0.003837 0.000004 0.001435 0.000645 0.000970 0.004551 0.000247 0.002375 0.000953 0.001267 0.000037 0.001209 0.000739 0.000156 0.000337 0.000082 0.000984 0.000242 0.000927 0.000086 0.000163 0.000036 0.000126 0.000092 0.000042 0.000529 0.000143 0.000008 0.000042 0.000044 0.000075 0.000203 -0.000000 0.000017 0.000161 -0.000000 0.000040 -0.000000 0.000028 0.000049 -0.000000 0.000047 -0.000000 0.000016 -0.000000 -0.000000 0.000056 -0.000000 -0.000000 0.000009 
0.016401 0.226647 0.002962 0.163197 0.020843 0.005217 0.000223 0.004854 0.013424 0.043387 0.092347 0.004867 0.009205 0.045735 0.001427 0.209669 0.001708 0.007947 0.008612 0.011084 0.004391 0.000464 0.002055 0.010255 0.000016 0.012118 0.000014 0.003610 0.002038 0.003255 0.016189 0.001022 0.007126 0.003098 0.006435 0.000195 0.003834 0.002834 0.000468 0.001506 0.000411 0.002811 0.000659 0.002897 0.000257 0.000975 0.000268 0.000677 0.000207 0.000091 0.002115 0.000487 0.000045 0.000139 0.000755 0.000320 0.000746 0.000093 0.000068 0.001129 0.000061 0.000142 0.000098 0.000042 0.000393 0.000068 0.000140 0.000198 0.000062 0.000115 0.000042 0.000056 0.000034 0.000069 0.000043 
0.000201 0.002141 0.000093 0.001567 0.000206 0.000270 0.000005 0.000050 0.000336 0.000675 0.001425 0.000116 0.000156 0.001210 0.000030 0.003839 0.000054 0.000315 0.000237 0.000260 0.000114 0.000008 0.000127 0.000253 -0.000000 0.000187 0.000001 0.000217 0.000103 0.000139 0.000788 0.000035 0.000287 0.000139 0.000292 0.000012 0.000104 0.000154 0.000039 0.000119 0.000062 0.000141 0.000040 0.000058 0.000014 0.000081 0.000018 0.000047 0.000057 0.000011 0.000378 0.000029 -0.000000 0.000084 0.000133 0.000038 0.000203 -0.000000 0.000017 0.000081 0.000004 -0.000000 -0.000000 0.000028 0.000049 0.000017 0.000023 -0.000000 0.000016 0.000019 0.000014 0.000028 0.000017 0.000069 -0.000000 
0.109976 0.824440 0.025081 0.896276 0.036302 0.030942 0.002449 0.032742 0.124174 0.341796 0.050314 0.042852 0.041604 0.287550 0.003937 0.126392 0.013233 0.056650 0.060430 0.034274 0.009079 0.000678 0.011692 0.019660 0.000103 0.016049 0.000094 0.026186 0.002800 0.022649 0.024678 0.007013 0.020107 0.008419 0.014674 0.001011 0.008634 0.004651 0.002066 0.004359 0.001993 0.011315 0.001480 0.009503 0.001098 0.004552 0.000537 0.001733 0.001104 0.000288 0.005815 0.001460 0.000181 0.000613 0.001555 0.000620 0.001288 0.001115 0.000211 0.001775 0.000136 0.000344 0.000098 0.000170 0.000540 0.000051 0.000326 0.000693 0.000078 0.000231 0.000141 0.000112 0.000103 0.000555 0.000060 
0.021029 0.128710 0.014716 0.125727 0.005856 0.018619 0.000839 0.017089 0.053361 0.097010 0.013313 0.017521 0.012887 0.108674 0.001360 0.042524 0.009464 0.034698 0.025303 0.014129 0.004170 0.000341 0.009001 0.010853 0.000112 0.010107 0.000073 0.019705 0.001525 0.019948 0.019340 0.007965 0.015029 0.007228 0.012772 0.001450 0.009981 0.003942 0.003859 0.004716 0.003041 0.014126 0.002637 0.012227 0.001753 0.008535 0.000912 0.002048 0.001368 0.000509 0.010271 0.003149 0.000497 0.001255 0.004575 0.001541 0.004746 0.002972 0.000642 0.006050 0.000206 0.000890 0.000418 0.000524 0.001816 0.000137 0.000931 0.001386 0.000514 0.000846 0.000465 0.000757 0.000513 0.002291 0.000275 
0.001912 0.010704 0.037020 0.010053 0.000412 0.057566 0.000592 0.030513 0.077413 0.008833 0.001558 0.011912 0.001393 0.018588 0.000153 0.005906 0.030941 0.059719 0.009648 0.002302 0.000720 0.000070 0.008801 0.002345 0.001119 0.001872 0.000090 0.017748 0.000308 0.052501 0.004726 0.031225 0.005283 0.003197 0.005362 0.009443 0.004110 0.002125 0.021208 0.002536 0.009062 0.020451 0.001292 0.015877 0.005431 0.030483 0.000519 0.001229 0.003208 0.000355 0.010196 0.007758 0.001792 0.002984 0.006174 0.001485 0.004611 0.011983 0.000794 0.007825 0.000162 0.000850 0.000221 0.000609 0.002209 0.000171 0.000838 0.005148 0.000716 0.001269 0.000493 0.000925 0.001470 0.004929 0.000532 
